,Unnamed: 0,issuekey,title,description,storypoint,project
16267,17866,XD-3265,spike investigate distributed implementation of cloudcontroller admin spi,as a spring xd user id like to use cloudcontroller based implementation of xd admin spi so i can run data pipeline usecases running on cf relevant repos springclouddata springcloudstream please refer to xd3194 or xd3229 as sample spikedeliverables that were completed in the last sprint,8,springxd
16269,17868,XD-3267,add support for receptor spi to query module status,as a spring xd on cf user id like to use receptor implementation of admin spi every time i deploy spring xd modules so i can leverage the spi to query for module status and health metrics possible apis code modulestatus getstatus collection listmodules map code,5,springxd
16270,17869,XD-3268,add support for cloudcontroller spi to query module status,as a spring xd on cf user id like to use cloudcontroller implementation of admin spi every time i deploy spring xd modules so i can leverage the spi to query for module status and health metrics possible apis code modulestatus getstatus collection listmodules map code,8,springxd
16271,17870,XD-3269,find a permanent home for spi,as a spring xd developer id like to have a permanent location of spi implementations so i could use the common repo every time i contribute or enhance the test coverage,3,springxd
16272,17871,XD-3270,create module registry abstraction,as a spring xd developer id like to create initial version of the new module registry abstraction so we could leverage the foundation to make progress and test the respective spi implementations,5,springxd
16273,17872,XD-3271,add automatic wiring of profiledriven spi implementations,as a spring xd user id like to make spi implementation profile aware so i can run java jar admin or cf push admin or ltc create admin and the corresponding implementation gets wiredin automatically,3,springxd
16274,17873,XD-3273,add support for modules to registry itself to eureka,as a scs user id like to have the modules selfregister itself with eureka whenever theyre installed so i can also discover the same modules using spring xd admin spi and reuse them to create data pipelines,5,springxd
16275,17874,XD-3274,make scs modules searchable by its name,as a scs user id like to search the modules by its name aside from the default springapplicationname offered by boot so i can also fetch modules by its name,2,springxd
16276,17875,XD-3275,add support to store metadata in eureka,as a scs user id like to store module metadata in eureka so i can use the repository to determine the current state,2,springxd
16277,17876,XD-3276,add state to eureka when deploying scs modules,as a scs user id like to have my modules addupdate its current state to eureka so i can use the repository to discover the current sate of the module as needed,2,springxd
16278,17877,XD-3277,replace controller calls with respective spi implementation,as a spring xd developer id like to refactor current controller with spi calls so i can invoke the respective admin spi implementation based on the deployment controllers to refactor containerscontroller streamscontroller modulescontroller jobscontroller,5,springxd
